blockLot,fullAddress,City,State,neighborhood,councilDistrict,policeDistrict,Latitude,Longitude
0005 020,1681 W North Ave,Baltimore,MD,Sandtown - Winchester,7,Western,39.3097152065,-76.6448369775
0065 028,1025 N Carey St,Baltimore,MD,Sandtown - Winchester,9,Western,39.3007400156,-76.6385620356
1548 020,1109 Mcdonogh St,Baltimore,MD,Middle East,12,Eastern,39.3037081748,-76.5933604792
1513 031,1724 E Preston St,Baltimore,MD,Broadway East,12,Eastern,39.3055823025,-76.5935685353
0281 038,333 S Calhoun St,Baltimore,MD,New Southwest / Mount Clare,9,Southern,39.2838337363,-76.6390381299
6301 037,248 S Conkling St,Baltimore,MD,Highlandtown,1,Southeastern,39.2887278066,-76.567534911
4580 029,3320 Spaulding Ave,Baltimore,MD,Central Park Heights,6,Northwestern,39.3470135798,-76.6773032686
0252 083,906 Lemmon St,Baltimore,MD,Hollins Market,9,Southern,39.2864506364,-76.6324496289
2402 070,1807 N Dukeland St,Baltimore,MD,Coppin Heights / Ash - Co - East,7,Western,39.3083964966,-76.6633618254
0126 015,530 N Carrollton Ave,Baltimore,MD,Harlem Park,9,Western,39.2950618886,-76.6373964614
4605A031,4916 Denmore Ave,Baltimore,MD,Central Park Heights,6,Northwestern,39.345039571,-76.6731967661
0076 002,903 N Stricker St,Baltimore,MD,Sandtown - Winchester,9,Western,39.2991119737,-76.6412466727
0101 027,1325 W Lanvale St,Baltimore,MD,Harlem Park,9,Western,39.2976016542,-76.6398469914
1576 037,2835 E Biddle St,Baltimore,MD,Biddle Street,13,Eastern,39.3047657495,-76.577488736
1642 082,624 N Glover St,Baltimore,MD,Mcelderry Park,13,Southeastern,39.298559431,-76.5803414117
3912 014,625 E 41st St,Baltimore,MD,Pen Lucy,4,Northern,39.33949633,-76.6064920549
3254 002,3102 Reisterstown Road,Baltimore,MD,Liberty Square,7,Northwestern,39.3226617659,-76.6561225586
7119 018,801 Stoll St,Baltimore,MD,Brooklyn,10,Southern,39.2308106268,-76.6010015187
2165 036,2450 W Baltimore St,Baltimore,MD,Shipley Hill,9,Southwestern,39.2879523584,-76.6560787429
4575 014,3713 W Belvedere Ave,Baltimore,MD,Langston Hughes,6,Northwestern,39.3458238375,-76.6802904112
1277 027,552 Oldtown Mall,Baltimore,MD,Oldtown,12,Eastern,39.2971865028,-76.6030697106
4164B041,1703 Cliftview Ave,Baltimore,MD,Darley Park,12,Eastern,39.3151037209,-76.5937476243
3969 018,1515 Sheffield Road,Baltimore,MD,Hillen,3,Northeastern,39.3417342591,-76.5916849048
1652 058,503 N Chester St,Baltimore,MD,Care,13,Eastern,39.2966595189,-76.5874746962
1537 004,2416 E Biddle St,Baltimore,MD,Broadway East,13,Eastern,39.3049060271,-76.5835256037
0297 027,615 Cumberland St,Baltimore,MD,Sandtown - Winchester,7,Western,39.308906455,-76.6418212964
0120 099,1812 Lauretta Ave,Baltimore,MD,Harlem Park,9,Western,39.294675487,-76.6466323074
0073 030,918 N Mount St,Baltimore,MD,Sandtown - Winchester,9,Western,39.2995589612,-76.6446573537
0294 079,2426 N Stockton St,Baltimore,MD,Penn North,7,Western,39.3093842382,-76.6427448102
0393 042A,1327 1/2 Myrtle Ave,Baltimore,MD,Upton,11,Central,39.2995389766,-76.6329228131
2169 054,2749 W Fairmount Ave,Baltimore,MD,Shipley Hill,9,Southwestern,39.2883096943,-76.660636489
0264 048,228 S Calhoun St,Baltimore,MD,New Southwest / Mount Clare,9,Southern,39.2848413484,-76.6395589885
2387 005,2736 W Lafayette Ave,Baltimore,MD,Mosher,9,Western,39.298311599,-76.6622402717
6269B041,3638 Roberts Pl,Baltimore,MD,Baltimore Highlands,1,Southeastern,39.2958868259,-76.5666031375
3325 021,2705 Ulman Ave,Baltimore,MD,Park Circle,6,Northwestern,39.3288898962,-76.6596087308
0338 022,549 Laurens St,Baltimore,MD,Upton,11,Central,39.3048514723,-76.6345045244
5898H003,4306 Belair Road,Baltimore,MD,Belair - Parkside,3,Northeastern,39.3288129281,-76.5650757705
